DATE,precip,humidity,wind_speed,sea_pressure,min_temp,rain
2023-04-21T23:59:00,0.0,45.0,4.7,30.05,54.0,0
2023-11-12T23:59:00,0.0,43.0,2.4,30.0,47.0,0
2018-01-17T23:59:00,0.0,75.0,3.6,30.13,53.0,0
2024-01-06T23:59:00,0.0,65.0,4.4,30.12,41.0,0
2022-03-21T23:59:00,0.0,76.0,4.0,30.07,52.0,0
2017-02-11T23:59:00,0.01,76.0,6.1,30.1,57.0,1
2021-12-02T23:59:00,0.0,82.0,3.4,30.12,57.0,0
2021-11-22T23:59:00,0.0,36.0,2.3,30.03,56.0,0
2021-03-15T23:59:00,0.17,60.0,12.9,30.05,54.0,1
2022-05-20T23:59:00,0.02,83.0,9.0,29.84,58.0,1
2023-05-24T23:59:00,0.0,72.0,5.5,29.96,58.0,0
2020-04-30T23:59:00,0.005,75.0,4.6,29.93,64.0,1
2023-08-16T23:59:00,0.0,80.0,7.4,29.9,68.0,0
2016-08-15T23:59:00,0.0,71.0,8.2,29.87,71.0,0
2024-03-18T23:59:00,0.005,70.0,4.1,30.05,51.0,1
2023-02-14T23:59:00,0.03,63.0,11.5,29.95,54.0,1
2022-12-06T23:59:00,0.005,70.0,4.6,30.07,52.0,1
2017-06-02T23:59:00,0.0,78.0,5.8,29.88,64.0,0
2021-11-03T23:59:00,0.0,78.0,4.6,30.06,59.0,0
2020-03-17T23:59:00,0.01,58.0,5.9,29.98,53.0,1
2023-07-23T23:59:00,0.005,82.0,5.5,29.94,65.0,1
2016-01-23T23:59:00,0.005,76.0,4.6,30.04,53.0,1
2023-03-24T23:59:00,0.005,66.0,5.4,30.24,50.0,1
2022-01-17T23:59:00,0.13,81.0,3.0,30.08,55.0,1
2018-08-31T23:59:00,0.0,70.0,4.7,29.86,70.0,0
2016-11-28T23:59:00,0.1,79.0,5.4,29.95,54.0,1
2021-12-24T23:59:00,0.32,80.0,9.4,29.94,54.0,1
2016-12-21T23:59:00,0.54,69.0,5.1,29.98,59.0,1
2024-03-01T23:59:00,0.005,67.0,5.8,30.15,53.0,1
2022-06-18T23:59:00,0.0,71.0,5.9,29.93,61.0,0
2023-07-06T23:59:00,0.0,74.0,5.6,29.93,61.0,0
2018-05-22T23:59:00,0.0,65.0,7.3,29.94,60.0,0
2023-11-09T23:59:00,0.0,47.0,2.9,30.04,47.0,0
2020-03-23T23:59:00,0.01,72.0,6.3,30.17,56.0,1
